[2025-09-20 16:01:17] [INFO    ] discord.client: logging in using static token
[2025-09-20 16:01:17] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2025-09-20 16:01:17] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2025-09-20 16:01:17] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1418634609637458040', 'username': 'tge (official)', 'avatar': '10c1780512a23eedfd2441d24a5eb1f4', 'discriminator': '4535', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': 'fa2bd565169fa870d992ecc60ea6bb13', 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': True, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2025-09-20 16:01:18] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2025-09-20 16:01:18] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2025-09-20 16:01:18] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1418634609637458040', 'name': '7DaysBot', 'icon': '987bf87c3b73260184bcdbc8f7a1f30d', 'description': 'hi', 'type': None, 'cover_image': 'c2658a9895c2b676eb09915785750251', 'bot': {'id': '1418634609637458040', 'username': 'tge (official)', 'avatar': '10c1780512a23eedfd2441d24a5eb1f4', 'discriminator': '4535', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': 'fa2bd565169fa870d992ecc60ea6bb13', 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': '4d0d54d1b20f7fdcbac3178ada0768771971d1eaca1994f2dd3ba7f8788d5c2c', 'flags': 8953856, 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '776464268966625290', 'username': 'kluddy', 'avatar': '41c956531b0bd25dc33ddbf7c792ae77', 'discriminator': '0', 'public_flags': 128, 'flags': 128, 'banner': None, 'accent_color': 14792652, 'global_name': 'kluddy.', 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': '#e1b7cc', 'clan': {'identity_guild_id': '451879555523805195', 'identity_enabled': True, 'tag': 'WoA', 'badge': 'c08ecb1ef98d938294b1db84ca629ef7'}, 'primary_guild': {'identity_guild_id': '451879555523805195', 'identity_enabled': True, 'tag': 'WoA', 'badge': 'c08ecb1ef98d938294b1db84ca629ef7'}}, 'approximate_guild_count': 1, 'approximate_user_install_count': 0, 'approximate_user_authorization_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 2532, 'monetization_state': 1, 'verification_eligibility_flags': 123804, 'monetization_eligibility_flags': 247524, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': [], 'pricing_localization_strategy': 'localized_price_sets'}
[2025-09-20 16:01:18] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2025-09-20 16:01:18] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-arm-us-east1-c-w2mn",{"micros":0.0}]']}}
[2025-09-20 16:01:18] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2025-09-20 16:01:18] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
